Symbol,Target,Stoploss,SmallTF,BigTF,lotsize,Sync
NIFTY30MAY2422300CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,15,TRUE
BANKNIFTY29MAY2448000CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,15,TRUE
BANKNIFTY29MAY2448100CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,15,TRUE
BANKNIFTY29MAY2447900CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,15,TRUE
NIFTY30MAY2422300CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,25,TRUE
NIFTY30MAY2422350CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,25,TRUE
NIFTY30MAY2422400CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,25,TRUE
NIFTY30MAY2422450CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,25,TRUE
BANKNIFTY29MAY2448200CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,15,TRUE
