Symbol,Target,Stoploss,SmallTF,BigTF,lotsize,Sync
BANKNIFTY2452248100PE,15,20,5minute,15minute,15,TRUE
BANKNIFTY2452248200PE,15,20,5minute,15minute,15,TRUE
BANKNIFTY2452248300PE,15,20,5minute,15minute,15,TRUE
