Symbol,Target,Stoploss,SmallTF,BigTF,cool,lotsize,runtime,previousclose,presentclose,percentageChange,PE_LTP,TargetValue,StoplossValue
NIFTY30MAY2422300PE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,25,2024-05-23 12:25:00,36.3,36.5,0.5509641873278316,36.5,,
BANKNIFTY29MAY2448000PE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,15,2024-05-23 12:25:00,192.1,190.05,-0.989068193649144,190.2,,
BANKNIFTY29MAY2448100PE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,15,2024-05-23 12:25:00,219.1,216.4,-1.004107713372884,216.9,,
BANKNIFTY29MAY2447900PE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,15,2024-05-23 12:25:00,168.15,166.3,-1.100208147487359,166.3,,
BANKNIFTY29MAY2448200PE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,15,2024-05-23 12:25:00,248.8,244.7,-1.6479099678456683,244.7,,
NIFTY30MAY2422350PE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,25,2024-05-23 12:25:00,42.0,42.05,-0.11904761904761227,41.95,,
NIFTY30MAY2422400PE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,25,2024-05-23 12:25:00,49.0,48.75,-0.10204081632652481,48.95,72.25,37.25
