Symbol,Target,Stoploss,SmallTF,BigTF,cool,lotsize,runtime,percentageChange,previousclose,presentclose,CE_LTP,TargetValue,StoplossValue
NIFTY30MAY2422300CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,25,2024-05-23 12:20:00,0.7054018934471792,538.7,539.15,542.5,554.4,519.4
BANKNIFTY29MAY2448000CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,15,2024-05-23 12:20:00,2.7770684371807968,783.2,790.75,804.95,,
BANKNIFTY29MAY2448100CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,15,2024-05-23 12:20:00,3.4983777683735466,708.9,716.3,733.7,747.95,712.95
BANKNIFTY29MAY2447900CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,15,2024-05-23 12:20:00,2.9834254143646386,859.75,860.0,885.4,,
NIFTY30MAY2422350CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,25,2024-05-23 12:20:00,1.4243863016466332,494.95,493.05,502.0,509.15,474.15
NIFTY30MAY2422400CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,25,2024-05-23 12:20:00,1.4319014319014294,450.45,449.85,456.9,440.85,405.85
NIFTY30MAY2422450CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,25,2024-05-23 12:20:00,0.6289308176100684,413.4,409.5,416.0,425.5,390.5
BANKNIFTY29MAY2448200CE,15,20,FIVE_MINUTE,FIFTEEN_MINUTE,True,15,2024-05-23 12:25:00,3.99562123700054,639.45,663.8,665.0,693.0,658.0
